current_company,target_company,years_of_experience,current_salary,expected_salary,gender,location,current_role,sector,education,certifications,skills,current_company_tier,target_company_tier
netflix,microsoft,8.3,3244867,4106552,Male,Hyderabad,DevOps Engineer,IT,Bachelor,GCP,Data Engineering,1,1
oracle,happiest-minds,12.9,3228643,4905335,Male,Gurgaon,Tech Lead,IT,Bachelor,PMP,DevOps,2,5
uber,cts,3.8,1445470,1986319,Male,Mumbai,QA Engineer,IT,Master,PMP,AI,1,3
microsoft,tcs,1.5,2008661,2442923,Male,Bangalore,Business Analyst,IT,Bachelor,None,AI,1,3
google,oracle,12.7,1980498,2652714,Male,Chennai,Business Analyst,IT,Master,Azure,AI,1,2
tcs,ibm,13.0,3215052,4512420,Female,Gurgaon,Software Developer,IT,PhD,None,Cloud,3,2
google,linkedin,7.7,1772492,2249849,Male,Hyderabad,QA Engineer,IT,PhD,GCP,Security,1,1
salesforce,happiest-minds,4.2,2374473,3655848,Male,Hyderabad,Data Scientist,IT,PhD,Azure,Full Stack,1,5
google,valuelabs,7.3,2433418,3181682,Female,Bangalore,Senior Developer,IT,PhD,PMP,Security,1,5
google,zensar,12.2,1879685,2627574,Female,Pune,Cloud Engineer,IT,PhD,Azure,Data Engineering,1,4
virtusa,happiest-minds,3.7,2174063,2977648,Male,Mumbai,Software Developer,IT,Bachelor,Azure,Data Engineering,4,5
cts,apple,11.4,3172257,4653902,Female,Chennai,Cloud Engineer,IT,PhD,GCP,Cloud,3,1
tcs,wipro,2.6,2210273,3473388,Male,Chennai,QA Engineer,IT,Master,PMP,Full Stack,3,3
google,microsoft,5.9,1883958,2899067,Female,Pune,Senior Developer,IT,Bachelor,PMP,DevOps,1,1
oracle,coforge,6.0,3100988,3734788,Female,Delhi,Software Developer,IT,Master,PMP,DevOps,2,5
deloitte,valuelabs,2.7,968318,1467228,Male,Bangalore,DevOps Engineer,IT,PhD,PMP,Full Stack,2,5
virtusa,microsoft,4.2,2011557,2578753,Male,Hyderabad,Cloud Engineer,IT,PhD,None,DevOps,4,1
amazon,adobe,13.8,1668473,2350422,Male,Gurgaon,DevOps Engineer,IT,Master,Azure,Data Engineering,1,1
happiest-minds,uber,3.6,1768603,2162415,Male,Delhi,DevOps Engineer,IT,PhD,Azure,AI,5,1
cts,virtusa,1.7,1584989,2124845,Female,Bangalore,DevOps Engineer,IT,Master,AWS,DevOps,3,4
virtusa,meta,14.4,3008535,4332862,Male,Gurgaon,DevOps Engineer,IT,Master,PMP,Cloud,4,1
linkedin,apple,14.9,1169100,1650942,Female,Hyderabad,Senior Developer,IT,PhD,None,Security,1,1
zensar,microsoft,9.3,2119556,3374965,Male,Delhi,Tech Lead,IT,PhD,AWS,DevOps,4,1
cts,salesforce,4.6,1084887,1539604,Male,Delhi,Cloud Engineer,IT,PhD,Scrum Master,Data Engineering,3,1
oracle,apple,2.3,1410535,1844192,Male,Hyderabad,Tech Lead,IT,Master,AWS,Cloud,2,1
sap,accenture,14.8,2795593,3882302,Male,Bangalore,Software Developer,IT,PhD,PMP,Data Engineering,2,2
microsoft,happiest-minds,4.3,2336235,3655241,Female,Chennai,Senior Developer,IT,PhD,Azure,AI,1,5
tcs,hexaware,6.0,935726,1192089,Male,Pune,Data Scientist,IT,Master,Azure,Security,3,4
infosys,adobe,11.7,2826356,3484665,Female,Gurgaon,Software Developer,IT,PhD,Scrum Master,Data Engineering,3,1
amazon,uber,11.9,3061172,4676714,Male,Bangalore,Business Analyst,IT,Master,Azure,Data Engineering,1,1
wipro,valuelabs,9.2,875619,1362450,Female,Mumbai,QA Engineer,IT,Bachelor,GCP,Full Stack,3,5
apple,tcs,9.8,2096747,3208901,Male,Delhi,Senior Developer,IT,Bachelor,Scrum Master,AI,1,3
amazon,virtusa,6.4,2569818,3946578,Male,Gurgaon,Business Analyst,IT,Master,Azure,DevOps,1,4
deloitte,microsoft,2.3,692611,1024366,Female,Gurgaon,Data Scientist,IT,PhD,None,DevOps,2,1
linkedin,cts,13.0,3176125,3876363,Female,Chennai,Software Developer,IT,Master,GCP,AI,1,3
infosys,valuelabs,2.4,2753759,3456134,Male,Pune,Cloud Engineer,IT,Master,None,Cloud,3,5
oracle,wipro,5.8,822472,1260918,Male,Bangalore,Cloud Engineer,IT,Bachelor,GCP,AI,2,3
cts,tcs,5.3,828315,1066359,Male,Mumbai,QA Engineer,IT,PhD,Scrum Master,DevOps,3,3
accenture,valuelabs,7.8,3137898,3777979,Male,Mumbai,Data Scientist,IT,PhD,Azure,Full Stack,2,5
microsoft,sap,4.6,1918541,2757184,Male,Mumbai,Cloud Engineer,IT,Master,PMP,AI,1,2
oracle,google,14.1,1828377,2718772,Male,Chennai,Data Scientist,IT,Bachelor,PMP,Security,2,1
oracle,microsoft,5.1,3160664,4831640,Male,Delhi,DevOps Engineer,IT,Master,AWS,Data Engineering,2,1
happiest-minds,apple,13.6,2636623,3818856,Male,Bangalore,Cloud Engineer,IT,Master,GCP,Security,5,1
